mp_code,product_name,cas_number
MP 001,hyflo s cell Celite,
MP 002,Hidroxido de aluminio,
MP 003,Bentonita sódica - barreal,
MP 004,Tripolifosfato de sódio,
MP 005,Tanfloc SG pó,
MP 006,Policloreto de alumínio pó,
MP 007,Umectante DO 400,
MP 008,Surfonic af 1445,
MP 009,amonia,
MP 010,Monoetanolamina (MEA),
MP 011,Tanfloc SG 33 líquido,
MP 012,soda cáustica líquida 50%,
MP 013,sulfito de sódio,
MP 014,ácido acético glacial,
MP 015,óleo mineral RR,
MP 016,Surfcane AF 55,
MP 017,Lecitina de soja,
MP 018,água,
MP 019,Peróxido de hidrogênio,
MP 020,fluent 149,
MP 021,fluent 113,
MP 022,sulfuricinado 80,
MP 023,Polimero anionico po eng,
MP 024,sulfato de cobre,
MP 025,Renex 95,
MP 026,alcool,
MP 027,Carbendazim,
MP 028,oléo 140 PNE- neutro leve,
MP 029,oléo de soja refinado,
MP 030,corante laranja texnyl RGG,
MP 031,Biomix,
MP 032,sulfato de manganes,
MP 033,diasil,
MP 034,MAP pó,
MP 035,percarbonato de sódio,
MP 036,uréia,
MP 037,sulfato de magnésio,
MP 038,sulfato de zinco,
MP 039,extrato pirolenhoso,
MP 040,Polimero Cationico po Axfloc ap9610w,
MP 041,ácido fosfórico industrial,7664-38-2
MP 042,isotiazolona,
MP 043,ultranex NP 40,
MP 044,acido fosforico ind. 30% P2O5,
MP 045,poliacrilato de sódio 45%,
MP 046,polimero pó catiônico,
MP 047,aluminato de sódio,
MP 048,smart LPA,
MP 049,quartenário de amônio 50%,
MP 050,sulfato de alumínio líquido isento de Fe,
MP 051,tetracetiletilenodiamina (TAED AZUL),
MP 052,ácido fosfórico GA 85,7664-38-2
MP 053,óleo de soja recuperado,
MP 054,PAC 1840,
MP 055,gluconato de sódio,
MP 056,smart HFE,
MP 057,polimero aniônico 934 VHM PÓ,
MP 058,poliamina FL 3249 PWG,
MP 059,emulsogen 5781,
MP 060,blend solv,
MP 061,butilglicol,
MP 062,solbrax eco sp,
MP 063,sulfato de amônio,
MP 064,Fosfato di sodio anidro,
MP 065,POLIMERO CATIONICO PO C19,
MP 066,polimero cationico C20H,
MP 067,(resina acrílica 45%),
MP 068,extrato de lupulo,
MP 069,Goma xantana 80 mesh,
MP 070,ácido fúlvico,
MP 071,Surfcane AF 44,
MP 072,metabissulfito de sódio,
MP 073,silicato líquido alcalino,
MP 074,estearato de alumínio,
MP 075,solvente ED 400 Cera,
